Date,Merchant,Category,Description,Amount
09-03-2026,Swiggy,Food,Swiggy transaction,-1128.88
07-04-2026,Electricity Board,Bills,Electricity Board transaction,-3787.35
21-01-2026,Flipkart,Shopping,Flipkart transaction,-3736.24
14-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-4749.02
05-04-2026,Zomato,Food,Zomato transaction,-4251.14
23-06-2026,Flipkart,Shopping,Flipkart transaction,-3367.52
11-06-2026,Electricity Board,Bills,Electricity Board transaction,-3447.95
30-01-2026,Uber,Travel,Uber transaction,-1523.71
13-04-2026,Fuel Station,Fuel,Fuel Station transaction,-517.45
27-03-2026,Netflix,Entertainment,Netflix transaction,-3242.76
16-03-2026,Salary,Income,Salary transaction,44223
17-02-2026,Zomato,Food,Zomato transaction,-1818.66
29-01-2026,Uber,Travel,Uber transaction,-1482.01
20-06-2026,Salary,Income,Salary transaction,53803
21-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-4120.34
23-06-2026,Myntra,Shopping,Myntra transaction,-4487.25
30-04-2026,Fuel Station,Fuel,Fuel Station transaction,-4634.37
21-06-2026,Swiggy,Food,Swiggy transaction,-670.95
05-01-2026,Netflix,Entertainment,Netflix transaction,-3373.08
29-04-2026,Flipkart,Shopping,Flipkart transaction,-2669.7
30-03-2026,Uber,Travel,Uber transaction,-4186.78
04-02-2026,Zomato,Food,Zomato transaction,-3850.61
30-03-2026,Fuel Station,Fuel,Fuel Station transaction,-3836.87
16-04-2026,Salary,Income,Salary transaction,39625
19-04-2026,Swiggy,Food,Swiggy transaction,-2374.46
02-04-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-4364.59
29-06-2026,Amazon,Shopping,Amazon transaction,-3288.78
23-04-2026,Electricity Board,Bills,Electricity Board transaction,-2555.28
30-06-2026,Swiggy,Food,Swiggy transaction,-2197.14
19-01-2026,Zomato,Food,Zomato transaction,-3468.38
23-03-2026,Uber,Travel,Uber transaction,-4130.02
02-05-2026,Salary,Income,Salary transaction,78292
13-03-2026,Flipkart,Shopping,Flipkart transaction,-2543.84
09-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3941.55
28-05-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3318.36
18-01-2026,Fuel Station,Fuel,Fuel Station transaction,-52.87
08-02-2026,Amazon,Shopping,Amazon transaction,-4595.45
26-02-2026,Uber,Travel,Uber transaction,-4923.16
08-04-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3485.17
15-05-2026,Myntra,Shopping,Myntra transaction,-1904.32
21-05-2026,Swiggy,Food,Swiggy transaction,-4997.13
20-03-2026,Flipkart,Shopping,Flipkart transaction,-2504.9
02-01-2026,Flipkart,Shopping,Flipkart transaction,-1782
09-01-2026,Flipkart,Shopping,Flipkart transaction,-926.92
07-04-2026,Swiggy,Food,Swiggy transaction,-1071.21
09-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-3025.9
08-06-2026,Netflix,Entertainment,Netflix transaction,-1259.25
20-05-2026,Uber,Travel,Uber transaction,-804.38
09-04-2026,Uber,Travel,Uber transaction,-1623.66
15-02-2026,Electricity Board,Bills,Electricity Board transaction,-387.81
01-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-1754.96
19-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-576.97
22-05-2026,Fuel Station,Fuel,Fuel Station transaction,-2188.75
02-01-2026,Uber,Travel,Uber transaction,-961.88
11-01-2026,Swiggy,Food,Swiggy transaction,-3873.2
25-03-2026,Zomato,Food,Zomato transaction,-771.8
23-04-2026,Zomato,Food,Zomato transaction,-4928.43
20-01-2026,Flipkart,Shopping,Flipkart transaction,-4631.84
09-03-2026,Flipkart,Shopping,Flipkart transaction,-605.41
02-05-2026,Netflix,Entertainment,Netflix transaction,-1183.56
11-02-2026,Netflix,Entertainment,Netflix transaction,-723.75
14-01-2026,Swiggy,Food,Swiggy transaction,-163.85
26-06-2026,Zomato,Food,Zomato transaction,-2592.35
25-02-2026,Zomato,Food,Zomato transaction,-4500.35
12-04-2026,Uber,Travel,Uber transaction,-2889.67
25-02-2026,Amazon,Shopping,Amazon transaction,-4042.97
28-01-2026,Zomato,Food,Zomato transaction,-1573.41
24-05-2026,Amazon,Shopping,Amazon transaction,-2398.95
07-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1618.98
13-01-2026,Electricity Board,Bills,Electricity Board transaction,-1623.24
16-01-2026,Fuel Station,Fuel,Fuel Station transaction,-2996.96
01-04-2026,Flipkart,Shopping,Flipkart transaction,-476.25
09-05-2026,Myntra,Shopping,Myntra transaction,-768.99
23-04-2026,Salary,Income,Salary transaction,63738
29-01-2026,Uber,Travel,Uber transaction,-2956.3
17-01-2026,Salary,Income,Salary transaction,54710
20-04-2026,Electricity Board,Bills,Electricity Board transaction,-1862.38
05-03-2026,Flipkart,Shopping,Flipkart transaction,-3986.36
04-05-2026,Electricity Board,Bills,Electricity Board transaction,-1865.74
07-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-1128.39
08-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-85.88
05-01-2026,Uber,Travel,Uber transaction,-2774.39
18-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-4103.09
30-04-2026,Myntra,Shopping,Myntra transaction,-1611.49
03-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-4916.68
13-03-2026,Netflix,Entertainment,Netflix transaction,-1812.82
09-04-2026,Myntra,Shopping,Myntra transaction,-455.49
12-05-2026,Swiggy,Food,Swiggy transaction,-305.47
11-03-2026,Swiggy,Food,Swiggy transaction,-3215.93
07-06-2026,Fuel Station,Fuel,Fuel Station transaction,-4346.77
27-06-2026,Netflix,Entertainment,Netflix transaction,-2282.15
18-04-2026,Zomato,Food,Zomato transaction,-100.48
26-04-2026,Electricity Board,Bills,Electricity Board transaction,-3765.65
14-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-3237.81
26-01-2026,Netflix,Entertainment,Netflix transaction,-2069.67
19-03-2026,Swiggy,Food,Swiggy transaction,-104.45
29-01-2026,Zomato,Food,Zomato transaction,-3080.22
15-06-2026,Zomato,Food,Zomato transaction,-3727.1
05-03-2026,Myntra,Shopping,Myntra transaction,-3440.96
17-02-2026,Zomato,Food,Zomato transaction,-254.3
26-05-2026,Netflix,Entertainment,Netflix transaction,-4890.5
07-04-2026,Swiggy,Food,Swiggy transaction,-2402.38
05-05-2026,Amazon,Shopping,Amazon transaction,-3446.15
24-04-2026,Electricity Board,Bills,Electricity Board transaction,-1519.66
23-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2799.94
07-03-2026,Myntra,Shopping,Myntra transaction,-640.46
28-02-2026,Amazon,Shopping,Amazon transaction,-4835.1
04-04-2026,Salary,Income,Salary transaction,71508
09-05-2026,Flipkart,Shopping,Flipkart transaction,-1614.18
19-04-2026,Electricity Board,Bills,Electricity Board transaction,-4537.21
22-01-2026,Swiggy,Food,Swiggy transaction,-3823.07
15-02-2026,Flipkart,Shopping,Flipkart transaction,-2827.38
06-02-2026,Amazon,Shopping,Amazon transaction,-4225.35
19-03-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-4521.3
26-03-2026,Flipkart,Shopping,Flipkart transaction,-2500.19
13-05-2026,Flipkart,Shopping,Flipkart transaction,-3192.44
14-03-2026,Flipkart,Shopping,Flipkart transaction,-2865.29
20-03-2026,Electricity Board,Bills,Electricity Board transaction,-4837.26
02-02-2026,Fuel Station,Fuel,Fuel Station transaction,-2836.16
06-04-2026,Amazon,Shopping,Amazon transaction,-3722.14
18-05-2026,Uber,Travel,Uber transaction,-1345.05
17-03-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-4832.97
10-04-2026,Flipkart,Shopping,Flipkart transaction,-2586.69
21-04-2026,Electricity Board,Bills,Electricity Board transaction,-3240.92
09-06-2026,Swiggy,Food,Swiggy transaction,-1866.1
29-05-2026,Uber,Travel,Uber transaction,-4729.31
18-04-2026,Myntra,Shopping,Myntra transaction,-756.54
19-01-2026,Zomato,Food,Zomato transaction,-4724.47
03-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-689.9
31-01-2026,Electricity Board,Bills,Electricity Board transaction,-2908.65
20-03-2026,Amazon,Shopping,Amazon transaction,-4724.51
10-04-2026,Zomato,Food,Zomato transaction,-2245.72
13-02-2026,Flipkart,Shopping,Flipkart transaction,-2465.2
04-03-2026,Amazon,Shopping,Amazon transaction,-1267.89
12-03-2026,Swiggy,Food,Swiggy transaction,-1175.62
01-02-2026,Flipkart,Shopping,Flipkart transaction,-3971.24
13-02-2026,Swiggy,Food,Swiggy transaction,-1475.22
06-05-2026,Flipkart,Shopping,Flipkart transaction,-2041.71
31-05-2026,Myntra,Shopping,Myntra transaction,-2823.08
24-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3837.74
08-02-2026,Electricity Board,Bills,Electricity Board transaction,-3177.01
10-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-1160.6
15-03-2026,Uber,Travel,Uber transaction,-3334.29
22-02-2026,Electricity Board,Bills,Electricity Board transaction,-300.06
27-06-2026,Salary,Income,Salary transaction,42641
18-06-2026,Fuel Station,Fuel,Fuel Station transaction,-3270.38
24-02-2026,Pharmacy,Healthcare,Pharmacy transaction,-2551.01
21-04-2026,Myntra,Shopping,Myntra transaction,-2775.79
05-01-2026,Fuel Station,Fuel,Fuel Station transaction,-3513.39
05-04-2026,Salary,Income,Salary transaction,30515
01-01-2026,Flipkart,Shopping,Flipkart transaction,-3542.25
10-04-2026,Salary,Income,Salary transaction,66270
15-05-2026,Amazon,Shopping,Amazon transaction,-3481.29
25-01-2026,Myntra,Shopping,Myntra transaction,-2819.31
04-06-2026,Salary,Income,Salary transaction,33498
18-06-2026,Uber,Travel,Uber transaction,-4060.69
29-01-2026,Fuel Station,Fuel,Fuel Station transaction,-746.1
24-04-2026,Netflix,Entertainment,Netflix transaction,-4269.43
19-03-2026,Flipkart,Shopping,Flipkart transaction,-2061.94
03-01-2026,Swiggy,Food,Swiggy transaction,-4485.66
14-03-2026,Electricity Board,Bills,Electricity Board transaction,-1515.02
24-02-2026,Fuel Station,Fuel,Fuel Station transaction,-243.14
04-04-2026,Zomato,Food,Zomato transaction,-3341.94
18-01-2026,Salary,Income,Salary transaction,59279
29-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-804.37
14-02-2026,Uber,Travel,Uber transaction,-1806.71
29-01-2026,Myntra,Shopping,Myntra transaction,-1003.53
13-05-2026,Swiggy,Food,Swiggy transaction,-2987.44
12-05-2026,Myntra,Shopping,Myntra transaction,-960.51
30-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-4411.08
01-04-2026,Amazon,Shopping,Amazon transaction,-2873.31
04-05-2026,Zomato,Food,Zomato transaction,-2322.18
05-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1428.77
06-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-4039.21
17-02-2026,Salary,Income,Salary transaction,30526
01-04-2026,Uber,Travel,Uber transaction,-3022.68
25-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-3172.49
17-04-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2690.58
20-03-2026,Amazon,Shopping,Amazon transaction,-4484.38
20-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-4465.68
04-06-2026,Netflix,Entertainment,Netflix transaction,-4981.03
27-06-2026,Netflix,Entertainment,Netflix transaction,-4615.2
29-03-2026,Uber,Travel,Uber transaction,-3564.97
18-01-2026,Electricity Board,Bills,Electricity Board transaction,-2352.34
25-02-2026,Flipkart,Shopping,Flipkart transaction,-180.46
13-04-2026,Swiggy,Food,Swiggy transaction,-952.16
27-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-3558.61
04-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1024.04
27-03-2026,Zomato,Food,Zomato transaction,-189.61
11-05-2026,Electricity Board,Bills,Electricity Board transaction,-3176.74
12-06-2026,Netflix,Entertainment,Netflix transaction,-3082.96
22-05-2026,Uber,Travel,Uber transaction,-3628.01
15-02-2026,Fuel Station,Fuel,Fuel Station transaction,-2835.87
04-01-2026,Flipkart,Shopping,Flipkart transaction,-3150.66
10-04-2026,Zomato,Food,Zomato transaction,-4358.72
29-05-2026,Flipkart,Shopping,Flipkart transaction,-2957.47
23-02-2026,Fuel Station,Fuel,Fuel Station transaction,-3559.19
19-05-2026,Uber,Travel,Uber transaction,-3215.1
22-02-2026,Netflix,Entertainment,Netflix transaction,-538.27
07-06-2026,Myntra,Shopping,Myntra transaction,-4983.68
25-05-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1929.01
02-02-2026,Uber,Travel,Uber transaction,-2931.55
15-04-2026,Amazon,Shopping,Amazon transaction,-323.52
22-04-2026,Salary,Income,Salary transaction,42003
28-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1806.94
24-02-2026,Swiggy,Food,Swiggy transaction,-3569.71
14-02-2026,Amazon,Shopping,Amazon transaction,-3703.74
16-05-2026,Amazon,Shopping,Amazon transaction,-1275.25
12-05-2026,Zomato,Food,Zomato transaction,-2034.44
21-02-2026,Electricity Board,Bills,Electricity Board transaction,-1256.58
07-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-4039.7
17-05-2026,Pharmacy,Healthcare,Pharmacy transaction,-2573.25
11-02-2026,Myntra,Shopping,Myntra transaction,-4723.06
03-02-2026,Myntra,Shopping,Myntra transaction,-346.04
04-04-2026,Amazon,Shopping,Amazon transaction,-3809.52
26-05-2026,Uber,Travel,Uber transaction,-2652.03
31-05-2026,Zomato,Food,Zomato transaction,-2362.45
04-01-2026,Salary,Income,Salary transaction,31557
13-02-2026,Salary,Income,Salary transaction,79632
19-02-2026,Flipkart,Shopping,Flipkart transaction,-1482.59
21-05-2026,Swiggy,Food,Swiggy transaction,-1241.01
19-02-2026,Salary,Income,Salary transaction,50199
12-05-2026,Pharmacy,Healthcare,Pharmacy transaction,-4364.28
20-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-878.73
24-04-2026,Flipkart,Shopping,Flipkart transaction,-521.5
18-02-2026,Myntra,Shopping,Myntra transaction,-1807.7
25-05-2026,Salary,Income,Salary transaction,53957
09-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-4778.13
16-02-2026,Zomato,Food,Zomato transaction,-3612.59
13-06-2026,Fuel Station,Fuel,Fuel Station transaction,-4018.09
14-01-2026,Uber,Travel,Uber transaction,-371.93
15-03-2026,Uber,Travel,Uber transaction,-1594.23
09-06-2026,Amazon,Shopping,Amazon transaction,-810.14
15-02-2026,Myntra,Shopping,Myntra transaction,-1507.56
22-05-2026,Fuel Station,Fuel,Fuel Station transaction,-954.08
18-05-2026,Netflix,Entertainment,Netflix transaction,-3667.86
28-02-2026,Electricity Board,Bills,Electricity Board transaction,-4230.1
05-02-2026,Amazon,Shopping,Amazon transaction,-3187.04
15-06-2026,Netflix,Entertainment,Netflix transaction,-3634.36
30-05-2026,Salary,Income,Salary transaction,40964
29-01-2026,Myntra,Shopping,Myntra transaction,-212.81
01-01-2026,Amazon,Shopping,Amazon transaction,-1476.32
03-05-2026,Fuel Station,Fuel,Fuel Station transaction,-713.07
04-04-2026,Electricity Board,Bills,Electricity Board transaction,-1490.03
10-05-2026,Fuel Station,Fuel,Fuel Station transaction,-2266.71
16-04-2026,Swiggy,Food,Swiggy transaction,-4059.52
27-04-2026,Flipkart,Shopping,Flipkart transaction,-96.34
25-05-2026,Netflix,Entertainment,Netflix transaction,-3479.99
20-04-2026,Netflix,Entertainment,Netflix transaction,-555.79
09-05-2026,Fuel Station,Fuel,Fuel Station transaction,-4343.56
18-03-2026,Fuel Station,Fuel,Fuel Station transaction,-1228.14
01-05-2026,Uber,Travel,Uber transaction,-2156.18
22-04-2026,Swiggy,Food,Swiggy transaction,-3586.51
19-04-2026,Uber,Travel,Uber transaction,-4862.61
28-03-2026,Uber,Travel,Uber transaction,-3931.49
04-05-2026,Flipkart,Shopping,Flipkart transaction,-4241.37
23-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-369.76
04-06-2026,Myntra,Shopping,Myntra transaction,-2237.35
27-04-2026,Myntra,Shopping,Myntra transaction,-3011.05
11-01-2026,Amazon,Shopping,Amazon transaction,-4180.4
12-02-2026,Amazon,Shopping,Amazon transaction,-3127.4
10-03-2026,Netflix,Entertainment,Netflix transaction,-1953.37
26-02-2026,Amazon,Shopping,Amazon transaction,-2793.36
11-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-2558.25
23-04-2026,Netflix,Entertainment,Netflix transaction,-2211.6
01-05-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2832.37
09-01-2026,Salary,Income,Salary transaction,67252
29-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-3525.93
16-05-2026,Fuel Station,Fuel,Fuel Station transaction,-3301.61
16-04-2026,Swiggy,Food,Swiggy transaction,-228.02
18-04-2026,Fuel Station,Fuel,Fuel Station transaction,-1168.59
06-05-2026,Amazon,Shopping,Amazon transaction,-4192.98
14-02-2026,Uber,Travel,Uber transaction,-4041.28
02-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-294.25
01-04-2026,Fuel Station,Fuel,Fuel Station transaction,-4812.11
18-02-2026,Electricity Board,Bills,Electricity Board transaction,-2560.35
23-02-2026,Fuel Station,Fuel,Fuel Station transaction,-3969.09
06-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-98.39
22-04-2026,Fuel Station,Fuel,Fuel Station transaction,-2622.65
06-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-4517.24
06-02-2026,Flipkart,Shopping,Flipkart transaction,-1845.41
24-01-2026,Myntra,Shopping,Myntra transaction,-1360.46
13-02-2026,Fuel Station,Fuel,Fuel Station transaction,-487.68
02-03-2026,Flipkart,Shopping,Flipkart transaction,-2754.9
29-03-2026,Netflix,Entertainment,Netflix transaction,-1756.14
07-05-2026,Netflix,Entertainment,Netflix transaction,-4615.11
03-04-2026,Amazon,Shopping,Amazon transaction,-86.73
24-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3816.46
10-04-2026,Salary,Income,Salary transaction,79191
05-01-2026,Amazon,Shopping,Amazon transaction,-1740.39
21-04-2026,Swiggy,Food,Swiggy transaction,-4881.28
27-01-2026,Swiggy,Food,Swiggy transaction,-1075.38
06-02-2026,Zomato,Food,Zomato transaction,-1051.49
21-04-2026,Amazon,Shopping,Amazon transaction,-1710.32
15-06-2026,Swiggy,Food,Swiggy transaction,-4483.35
29-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-2525.6
02-03-2026,Electricity Board,Bills,Electricity Board transaction,-1414.55
18-03-2026,Amazon,Shopping,Amazon transaction,-4954.12
30-01-2026,Salary,Income,Salary transaction,58569
22-02-2026,Electricity Board,Bills,Electricity Board transaction,-3151.66
18-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-4864
10-02-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3695.99
13-04-2026,Electricity Board,Bills,Electricity Board transaction,-1415.31
29-01-2026,Flipkart,Shopping,Flipkart transaction,-1041.75
12-04-2026,Amazon,Shopping,Amazon transaction,-2684.53
02-04-2026,Myntra,Shopping,Myntra transaction,-958.71
16-02-2026,Electricity Board,Bills,Electricity Board transaction,-4891
11-02-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3431.64
11-01-2026,Electricity Board,Bills,Electricity Board transaction,-2060.76
21-01-2026,Netflix,Entertainment,Netflix transaction,-4108.91
06-03-2026,Netflix,Entertainment,Netflix transaction,-4446.77
10-05-2026,Electricity Board,Bills,Electricity Board transaction,-1550.22
24-05-2026,Amazon,Shopping,Amazon transaction,-100.69
16-03-2026,Salary,Income,Salary transaction,44076
18-06-2026,Swiggy,Food,Swiggy transaction,-622.54
06-06-2026,Uber,Travel,Uber transaction,-2764.71
12-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-169.07
10-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-2640.68
19-03-2026,Myntra,Shopping,Myntra transaction,-3983.11
12-01-2026,Myntra,Shopping,Myntra transaction,-2383.75
01-04-2026,Zomato,Food,Zomato transaction,-1748.72
16-05-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-845.01
03-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-2905.82
24-04-2026,Fuel Station,Fuel,Fuel Station transaction,-4578.51
12-01-2026,Myntra,Shopping,Myntra transaction,-2639.32
28-05-2026,Amazon,Shopping,Amazon transaction,-1823.94
12-06-2026,Netflix,Entertainment,Netflix transaction,-1936.22
05-05-2026,Uber,Travel,Uber transaction,-2457.11
08-05-2026,Uber,Travel,Uber transaction,-2605.69
24-06-2026,Zomato,Food,Zomato transaction,-2848.11
29-03-2026,Amazon,Shopping,Amazon transaction,-1897.08
20-02-2026,Uber,Travel,Uber transaction,-3149.65
17-01-2026,Salary,Income,Salary transaction,59414
01-04-2026,Swiggy,Food,Swiggy transaction,-1687.04
22-06-2026,Netflix,Entertainment,Netflix transaction,-1455.84
18-01-2026,Flipkart,Shopping,Flipkart transaction,-1388.31
16-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-1699.93
28-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2650.22
08-05-2026,Flipkart,Shopping,Flipkart transaction,-2218.03
24-05-2026,Swiggy,Food,Swiggy transaction,-4058.92
28-04-2026,Electricity Board,Bills,Electricity Board transaction,-3017.61
09-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-3988.4
19-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3970.28
15-04-2026,Amazon,Shopping,Amazon transaction,-991.33
07-03-2026,Fuel Station,Fuel,Fuel Station transaction,-1144.58
10-04-2026,Myntra,Shopping,Myntra transaction,-279.11
20-04-2026,Swiggy,Food,Swiggy transaction,-856.87
21-04-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2788.85
19-03-2026,Flipkart,Shopping,Flipkart transaction,-1316.62
03-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-1663.77
11-04-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-689.19
23-03-2026,Zomato,Food,Zomato transaction,-4618.21
25-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2485.46
